cmt,tên,vận chuyển,giá,đóng gói,dịch vụ,mùi hương,chất lượng,kết cấu,độ bền,màu sắc,Không dùng được đánh X
"sản phẩm dưỡng da tốt, lành tính. Mình ở lại bệnh viện 3 tuần và bị hết kem gần 2 tuần. Trong lúc đó canh sale dc e này gần 700k. Xài được gần 1 tuần gòi. Có dưỡng là như sống lại vậy đó. Da mềm, mịn, ẩm và ko gây mụn nhé. Mình da thiên khô.",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,1,0,0,0,1,0,0,0,
"Lần đầu tiên mua, kem mịn thơm nhẹ, đang xài thử cùng với serum, kem dưỡng ngày đêm và spot corrector, hy vọng cải thiện được đa mặt sau 2 tuần như quảng cáo! Hàng giao rất nhanh",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),1,0,0,0,1,0,1,0,0,
"sản phẩm sử dụng rất ok, đối với sản phẩm này khi sử dụng cần phảo kiên trì mình dùng đến hộp thứ ba rồi đấy mình sẽ ủng hộ shop dài dài.",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,0,0,0,1,0,0,0,
"Giao không đúng sản phẩm, không uy tín!",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,0,1,0,0,0,0,0,
"Sản phẩm đóng gói tốt.
Đã từng sử dụng sản phẩm khác của hãng này. Làn da có cải thiện hơn trước, không làm mờ hết tàn nhang nhưng có làm mờ. Chất lượng của sản phẩm có thể tuỳ thuộc vào làn da của mỗi người.",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,1,0,0,1,0,0,0,
"Đọc review thấy dùnh ok, mình dùng thấy ko ổn, kem khó thấm. Sáng ngủ dậy mặt như chảo dầu. Thất vọng",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,0,0,0,1,1,0,0,
"Sau khi dùng 2 tuần bộ 4 sp (kem ngày, kem đêm, serum double booster, spot corrector) cũng thấy da sáng hơn",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,0,0,0,1,0,0,0,
"Ok Sản phẩm date xa, gói cẩn thận. Shop tặng thêm gel tắm bébe cận date.
Chưa sd nên chưa fb về sp.",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,1,1,0,0,0,0,0,
"Mình 28 tuổi, da bị nhiều đốm nâu do đi nắng. Từ lúc mua về là dùng 26 ngày liên tiếp, không nghỉ một ngày nào luôn. Các đốm nâu nhỏ và nhạt màu thì mờ nhiều, còn đốm nâu to hơn và đậm trên má có mờ đi, nhưng vẫn còn đó. Nhìn chung da có sáng hơn. Mình đang cân nhắc mua thêm kem dưỡng ban ngày nữa. Nói chung xài kem gì cũng vậy, quan trọng là xài hàng ngày thì mới thấy kết quả.",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,0,0,0,0,1,0,0,0,
"hàng chính hãng, hạn dùng còn 1 năm ổn. giá rẻ so với mua các shop khác. sẽ mua tiếp khi dùng hết.",Kem dưỡng trắng da ban đêm Eucerin UltraWHITE+ SPOTLESS Night (50ml),0,1,0,1,0,0,0,0,0,
"Hàng PC thì khá chất lượng rồi. Sản phẩm đầu tiên mà mình sử dụng của hãng PC là sửa rửa mặt này. Thực sự quá ưng luôn. Thực sự mình rất cám ơn cơ duyên đã đem PC đến với mình. Da mình thuộc da dầu, lỗ chân lông to. Vấn đề khá nan giải luôn. Sau đó, mình tìm hiểu thêm về các sp hỗ trợ khác, đặc biệt là dòng treatment của PC và thực sự da mình đã được cải thiện rất nhiều. Giờ mình đã trở thành PC'fan.",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,0,0,0,1,0,0,0,
3 hôm đầu thấy hơi rát mặt. sau đó đỡ hơn thì bị khô và tróc vùng da cạnh miệng 1 bên. :(((. Cũng k rõ bị sao nữa. trước vẫn dùng sản phẩm Paul's choice vẫn ổn. Đến cái này thấy hơi không ổn. chắc do mk k hợp.,Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,0,0,0,1,0,0,0,
sản phẩm dùng ok lắm nha mọi người. mua 2 lần rồi dùng đều rất ổn. Sản phẩm rất thích hợp cho da nhạy cảm đang bị mụn nên các bạn cân nhắc mua nhé. rửa mặt xong không có cảm giác khô ráp mà da lại rất mượt,Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,0,0,0,1,0,0,0,
"Sữa rửa mặt này mình đã xài nhiều chai rồi, da nhạy cảm sử dụng được nhé. Dịu nhẹ nhưng rửa rất sạch, không gây khô da. Đóng gói cẩn thận, mỗi lần mua đều được tặng quà và mua được giá giảm rất okie",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,1,1,1,0,1,0,0,0,
"giao hàng quá lâu, gọi đt nh lần mới đc giải quyết, đặt shop này 1lan sẽ ko đặt lại nữa. vì hàng dùng cũng đc nên đành cho 1sao",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,1,0,0,0,0,1,0,0,0,
"Sữa rửa mặt là một sản phẩm không thể thiếu với phái đẹp mỗi ngày và sau những lần trang điểm. Nó sẽ tác động lấy đi các chất bẩn trên da, thông thoáng lỗ chân lông, lấy đi tế bào chết mỗi ngày trên da.",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,0,0,0,0,0,0,0,X
"srm dùng thích, ko gây khô da.
đóng gói với giấy thân thiện môi trường thay vì dùng bọc xốp nilon. sẽ ủng hộ shop lâu dài",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,1,0,0,1,0,0,0,
"Sử dụng cả 3 năm nay rồi. Không mùi, nhưng khô da không phải là không có nhưng rất ít. Một phần do da mình nhạy cảm. Nhưng mình sử dụng nguyên một bộ thì da tốt hơn là điều dễ hiểu nhưng phải cả hơn năm mới thấy rõ chứ không như nhiều người nói chỉ có 3 tháng thôi đâu (trước da mình rất nhiều mụn. Ko dám nhìn mặt ai, toàn mụn cối, mụn mủ, mụn đỏ,...nhớ lại mà hãi). Bạn nào da ngạy cảm, thì sử dụng loại này mình thấy ok. Giá hơi chát xíu nhưng tính ra cũng không nhiêu. Hướng dẫn bảo sử dụng rửa 2 lần nhưng mình rữa một lần sữa cũng thấy ok rồi. Nhờ vậy phải cả mấy tháng mới hết một chai. Nói chung là đáng tiền hơn mấy loại rẻ mà khô hết cả da.",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,1,0,0,1,1,0,0,0,
"Rửa sạch, mặt mịn hơn. Sẽ tiếp tục dùng",Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,0,0,0,1,0,0,0,
mua từ offical store chính hãng nên yên tâm. chưa sử dụng nên chưa biết ra sao. hy vọng ổn.,Sữa rửa mặt trị mụn và se khít lỗ chân lông Paula’s Choice Clear Pore Normalizing Cleanser 177 ml,0,0,0,0,0,0,0,0,0,
Mình thì xài gần hết lọ rồi mà thấy có vẻ hơi nhẹ nên tới h chưa hết nhưng mà thơm mùi thơm hàng tốt chắc phải dùng nhiều mới có kết quả,"Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",0,0,0,0,1,1,0,0,0,
"gel khá đặc,mùi thơm nhẹ ,giá thành vừa tầm nhưng dùng phải thực sự rất rất kiên trì .  Mình đặt 4 lọ xài dần nhưng khá hao vì tuýt khá bé  . Thâm nhẹ bôi thì đơ đỡ chứ thâm nặng thì bôi trăm lọ vẫn y xì thôi.","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",0,1,0,0,1,1,1,0,0,
"mình thử nhiều loại lắm luôn rồi á, có 1 loại hiệu quả thôi nhưng giờ ko có tác dụg vs mình nên bí quá lướt thấy kem này rẻ nên mình mua đại. kết quả là hơi bất ngờ, nó hợp vs mình, mụn sưng 1 ngày là bớt sưng, mụn mủ hay thường thì 2 ngày là khô luôn. Bảng tp cũng ok, có dưỡng cho khỏi bị thâm sau mụn, mùi thơm. Nói chung là rất hài lòng.","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",0,1,0,0,1,1,0,0,0,
"mình mua đến lần thứ 3 rồi,mỗi ngày sử dụng 2-3 lần.1 tháng dùng hết 2 hộp và vẫn đang tiếp tục,nó giúp da hồi phục nhanh hơn bình thường nhưng tốc độ mọc mụn vẫn nhanh hơn nhiều,còn chữa cần thêm thời gian vài ngày hoặc hơn","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",0,0,0,0,0,1,0,0,0,
"tiki giao hàng sớm 2 ngày đề nghị tiki định thời gian giao hàng chuẩn chuẩn tý chứ lỡ mắc việc thì sao mà sắp xếp nhận hàng được .
sản phẩm thì mở hộp ra có mùi thơm nhẹ , shop có thư cảm ơn  . mình trải nghiệm 1 thời gian nữa sẽ đánh giá lại . cảm ơn","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",1,0,0,1,1,0,0,0,0,
"Mùi thơm ngọt, chất gel trong suốt, thấm nhanh, da mình hỗn hợp thiên dầu ít khi dùng mỹ phẩm hay thuốc trị mụn dùng lại thấy hợp, không kích ứng. bôi 2 ngày giảm thâm đỏ nhiều, mụn viêm giảm sưng đỏ + khô đầu nhanh, mụn cám nhỏ trên mũi tự nhiên thấy nó tự lòi cồi ra hết hồn =)). Hy vọng dùng lâu ko bị lờn thuốc, mình ưng quá, thấy thành phần có vitamin collagen đồ định bụng dùng làm kem dưỡng luôn mà cỡ 100k 1 tuýp khá bé ntn sợ bôi mặt chắc chỉ được 1 tuần.","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",0,1,0,0,1,1,1,0,0,
Chất lượng sản phẩm tốt mọi người ạ. Shop uy tín nữa mọi người có thể tham khảo để mua. Lần đầu dùng loại này nên chưa thể đánh giá gì được nhiều cả. Giao hàng nhanh,"Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",1,0,0,0,0,1,0,0,0,
Check mã vạch ok. Mở ra thơm dã man. Thơm dịu hơn cả nước hoa. Để e dùng một thời gian rồi quay lại review cho mn tiếp nha. Lần đầu tiên trong cuộc đời từ lúc tiêm vaccine xong e mới có mụn nên h mới dùng lần đầu,"Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",0,0,0,1,1,0,0,0,0,
"ngoài hộp mùi thơm cực, thấy sịn sò , giao hàng cũng nhanh. check hàng chính hãng mà rẻ hơn nhiều chỗ khác ý.","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",1,1,0,1,1,0,0,0,0,
"hàng giao nhanh đến bất ngờ luôn á, mới hôm qua kiểm tra thấy hàng vẫn còn ở Hà Nội mà ngày hôm sau đã giao tại Bình Dương. còn công dụng của sản phẩm không cần nói đến rồi quá tuyệt vời, giá cả lại rẻ","Derma Forte Gel 15g - Adavanced, Giảm Mụn Trứng Cá, Mờ Sẹo, Dưỡng Da",1,1,0,0,0,1,0,0,0,
Ủa lu bu mới xem lại đặt đơn ok là 1180 sao bill giao là 1190,Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,0,0,0,1,0,0,0,0,0,
hàng giao ko giống hình minh hoạ? còn có cặn bẩn xung quanh viền các hình tem dán???,Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,0,0,0,1,0,0,0,0,0,
"Hàng chuẩn, mặc dù giao hơi lâu",Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,1,0,0,1,0,0,0,0,0,
"Sản phẩm chất lượng, tốt, đủ hàng
Sẽ còn ủng hộ shop tiếp tục nữa",Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,0,0,0,1,0,1,0,0,0,
Quá tốt cho da bị tràm,Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,0,0,0,0,0,1,0,0,0,
"Tốt , giao nhanh",Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,1,0,0,0,0,1,0,0,0,
"sản phẩm tốt, giảm mẩn ngứa, tràm tốt",Kem dưỡng ẩm cho viêm da cơ địa Cetaphil Pro AD Moisturizer 295ml,0,0,0,0,0,1,0,0,0,
"Giá hời nên mua cho mẹ dùng thử. Ai ngờ mẹ bảo dùng thích quá. Chất kem vừa phải không đặc quá. Thẩm thấu nhanh. Dùng xong da ẩm mềm thích lắm. Sản phẩm chứa thành phần thiên nhiên nên kh bị kích ứng đâu. Có tem chống giả nên dùng yên tâm hơn nhìu. Hết sẽ mua thêm. Đóng gói cẩn thận, giao hàng nhanh",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),1,1,1,1,0,1,1,0,0,
"Giao hàng nhanh, shop còn đóng gói hàng siêu cẩn thận luôn. Sản phẩm dùng thích không có gây rát da như những loại kem mình từng dùng vì da mình thuộc loại da nhạy cảm nên dùng gì mình tìm hiểu kĩ nên quyết định chốt e nó về. Đúng là e nó không làm thất vọng. Ưng quá🥰🥰",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),1,0,1,0,0,1,0,0,0,
"thời gian giao hàng rất nhanh, mình rất hài lòng về cách phục vụ của shop, shop phục vụ rất nhiệt tình. Nói về chất lượng sản phẩm thì sau khi đã dùng thử mình thấy trước tiên là sử dụng xong không hề bị kích ứng da, da mình còn mịn màng hơn nữa. Ui, mình rất hài lòng.",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),1,0,0,1,0,1,0,0,0,
"riêng việc giao hàng và đóng gói chưa bao giờ phải lo về shop cả. riêng sản phẩm không chê được gì, bao bì đẹp mê, sau sử dụng vài ngày không hề có cảm giác bị kích ứng, lại có mùi thơm nhẹ",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),1,0,1,0,1,1,0,0,0,
"Đóng gói quá là chắc chắn luôn, giao hàng siêu nhanh. Ban đầu dùng cảm nhận thấy da mềm mịn rõ luôn, chắc phải dùng thêm 5-6 ngày nữa để thấy hiệu quả rõ của sản phẩm. Giá săn sale nên quá hợp lí, mọi người nên thử nhé",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),1,1,1,0,0,1,0,0,0,
"sp có thiết kế ổn, nhìn sang chảnh mà đẹp. Thiết kế kiểu vậy mình thấy ko khí ko vào được mà cũng ok. Da mình từng dùng kem trộn nên bị nhạy cảm, dùng nhiêu nma caia nayg là ổn nhất. Mình dungg đc vài ngày rồi nên mọi người nên mua nhé",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),0,0,0,0,0,1,0,0,0,
"Da mình cực kỳ nhậy cảm vì đã dùng qua rượu thuốc, các thứ linh tinh nên da yếu, nhưng khi dùng sản phẩm này vô cùng lành tính nên rất thích. Mình mua đủ hết các loại sản phẩm của thương hiệu Cellkeys. Recommend cho da yếu nhé",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),0,0,0,0,0,1,0,0,0,
"sản phẩm mẩu mã đẹp, bao bì hộp giấy ko có bao nhựa bên ngoài, mới dùng chưa biết hiệu quả ko, shop trả lời tất cả những thắc mắc của mình, chăm sóc khách hàng tốt.5s cho shop.",Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),0,0,0,1,0,0,0,0,0,
Gần tết nên mua tặng mẹ và em gái dùng thấy mẹ khen là da dùng quá hợp rất thích ít khi nào mà dùng kem thích như này. Sản phẩm giao cực nhanh. Đóng gói kỹ càng nói chung rất hài lòng,Kem Dưỡng Ẩm Trắng Da Ban Đêm Tế Bào Gốc Phục Hồi Trẻ Hoá Da Và Chống Lão Hoá Cellkey-Scien White Cream (30g),1,0,1,0,0,1,0,0,0,
"Da khô nhạy cảm, dùng ok cấp ẩm 7/10, bôi lên chờ 5p thì khô và k bị bết dính","Kem dưỡng ẩm giúp cung cấp nước, làm dịu và bảo vệ da - dùng được cho da nhạy cảm Toleriane Sensitive Cream 40ml",0,0,0,0,0,1,1,0,0,
